loanID,firstName,lastName,city,loanDate,amount,intRate,loanTerm,loanType,mthPmt
1022,Eileen,Cooper,Santa Fe,2030-02-28,200000,0.07,15,Mortg,1797.656542
1023,Jack,Smith,Santa Fe,2030-03-21,150000,0.075,15,Mortg,1390.51854
1024,Ryan,Murphy,Santa Fe,2030-03-22,100000,0.07,30,Mortg,665.3024952
1025,Ryan,Murphy,Taos,2030-03-01,25000,0.065,3,Car,766.2250719
1026,Scott,Hunter,Taos,2030-04-01,10000,0.077,5,Car,201.3312363
1027,Ellen,Harper,Albuquerque,2030-03-11,200000,0.0625,15,Mortg,1714.845733
1028,Ellen,Harper,Albuquerque,2030-03-31,15000,0.065,3,Other,459.7350431
1029,Ellen,Harper,Albuquerque,2030-04-15,25000,0.0775,4,Car,607.3935476
1030,Bob,Williams,Albuquerque,2030-05-01,150000,0.0575,15,Mortg,1245.615131
1031,Max,Entermann,Santa Fe,2030-01-15,475000,0.0575,15,Mortg,3944.447913
1032,Max,Entermann,Santa Fe,2030-01-23,35000,0.0675,5,Car,688.9211233
1033,Max,Entermann,Santa Fe,2030-01-31,12000,0.0825,10,Other,147.1831501
1034,Craig,Holden,Santa Fe,2030-05-03,350000,0.08,30,Mortg,2568.176009
1035,Helen,Rayus,Albuquerque,2030-01-25,10000,0.055,3,Car,301.959018
1036,Helen,Rayus,Albuquerque,2030-03-01,20000,0.075,5,Other,400.7589719
1037,Ted,Myerson,Santa Fe,2030-02-08,525000,0.065,30,Mortg,3318.357123
1038,Peter,Sanger,Albuquerque,2030-02-12,10500,0.06875,5,Other,207.2939028
1039,Peter,Sanger,Albuquerque,2030-05-08,275000,0.06,15,Mortg,2320.606277
1040,Rose,Budnick,Taos,2030-02-20,250000,0.0575,30,Mortg,1458.932141
1041,Rose,Budnick,Taos,2030-02-21,5000,0.0875,3,Other,158.4175361
1042,Robert,Thompson,Taos,2030-04-18,41000,0.075,4,Car,991.3349794
1043,Austin,Powers,Albuquerque,2030-03-03,56000,0.0725,5,Car,1115.484236
1044,Barbara,Ringer,Taos,2030-02-15,35000,0.06,5,Other,676.6480535
1045,Barbara,Ringer,Taos,2030-03-10,129000,0.0575,15,Mortg,1071.229012
1046,Joseph,Rogers,Taos,2030-04-22,350000,0.065,15,Mortg,3048.875779
